"Species","Depth_bin","p"
"Arctic skate","1260",0.0113941649237814
"Arctic skate","1270",0.00708206629831279
"Arctic skate","1280",0.00387986648215341
"Arctic skate","1290",0.00423745738048233
"Arctic skate","1300",0.00466183674095113
"Arctic skate","1310",0.0199614003848271
"Arctic skate","1320",0.00169636756296713
"Arctic skate","1330",0.00103552535412244
"Arctic skate","1340",0.000361396303901438
"Arctic skate","1350",0
"Arctic skate","1360",0
"Arctic skate","1370",0
"Arctic skate","1380",0
"Arctic skate","1390",0
"Arctic skate","1400",0
"Arctic skate","1410",0
"Arctic skate","1420",0
"Arctic skate","1430",0
"Arctic skate","1440",0
"Arctic skate","1450",0
"Arctic skate","1460",0
"Arctic skate","1470",0
"Arctic skate","1480",0
"Arctic skate","1490",0
"Arctic skate","1500",0
"Arctic skate","1510",0
"Arctic skate","1520",0
"Arctic skate","1530",0
"Arctic skate","1540",0
"Arctic skate","1550",0
"Arctic skate","1560",0
"Arctic skate","1570",0
"Arctic skate","1580",0
"Arctic skate","1590",0
"Arctic skate","1600",0
"Arctic skate","1610",0
"Arctic skate","1620",0
"Arctic skate","1630",0
"Arctic skate","1640",0
"Arctic skate","1650",0
"Arctic skate","1660",0
"Arctic skate","1670",0
"Arctic skate","1680",0
"Arctic skate","1690",0
"Arctic skate","1700",0
"Arctic skate","1710",0
"Arctic skate","1720",0
"Arctic skate","1730",0
"Arctic skate","1740",0
"Arctic skate","1750",0
"Arctic skate","1760",0
"Arctic skate","1770",0
"Arctic skate","1780",0
"Arctic skate","1790",0
"Arctic skate","1800",0
"Arctic skate","1810",0
"Arctic skate","1820",0
"Arctic skate","1830",0
"Arctic skate","1840",0
"Arctic skate","1850",0
"Basking shark","0",0.171649146839051
"Basking shark","10",0.0718989834646036
"Basking shark","20",0.0804479019389273
"Basking shark","30",0.0586621004673918
"Basking shark","40",0.0643531260714365
"Basking shark","50",0.0598548506081502
"Basking shark","60",0.0421622489477621
"Basking shark","70",0.0302795405779315
"Basking shark","80",0.0228232595111459
"Basking shark","90",0.0195304912362235
"Basking shark","100",0.0165633460120791
"Basking shark","110",0.013039811254521
"Basking shark","120",0.0113186938534557
"Basking shark","130",0.0110903344746267
"Basking shark","140",0.0126140835003895
"Basking shark","150",0.0115880048357174
"Basking shark","160",0.0142680722434916
"Basking shark","170",0.0140871830331808
"Basking shark","180",0.0134829321574911
"Basking shark","190",0.0114503382731796
"Basking shark","200",0.00898091262819926
"Basking shark","210",0.00588038997282552
"Basking shark","220",0.00537305020671102
"Basking shark","230",0.00382681279381727
"Basking shark","240",0.00383530830870781
"Basking shark","250",0.00259099765606233
"Basking shark","260",0.00295547578038952
"Basking shark","270",0.00235431039353242
"Basking shark","280",0.00236758150742724
"Basking shark","290",0.00253807398102591
"Basking shark","300",0.0025535001825099
"Basking shark","310",0.00257961920327942
"Basking shark","320",0.00222716998472791
"Basking shark","330",0.00255281176659691
"Basking shark","340",0.00226438397080231
"Basking shark","350",0.00266273956635312
"Basking shark","360",0.00286890536121042
"Basking shark","370",0.00225371542261505
"Basking shark","380",0.00277995981917547
"Basking shark","390",0.00285147492528359
"Basking shark","400",0.0027088491547609
"Basking shark","410",0.00331641797608347
"Basking shark","420",0.00361183812764154
"Basking shark","430",0.0026885945127659
